,CALIBRATION,TYPE,OLD PART NUMBER(S),NEW PART NUMBER(s),Year,Body,BC Description,BC Length,Engine Size
118,96 3.3 GS EXPORT AUTO GS - VOYAGER (GRAZ),PCM,"04700010, 04748101",04727118,1996,GS,GS - VOYAGER (GRAZ),2,
119,96 3.8 GS EXPORT AUTO AWD GS - VOYAGER (GRAZ),PCM,"04727049, 04748110",04727127,1996,GS,GS - VOYAGER (GRAZ),2,
120,98 NS 2.4L A3 & A4 AUTO FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727151AF, 04727151AG, 04727151AH, 04727151AI, 04727151AJ, 05017592AA",04727151AK,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
121,98 NS 3.3L A4 FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727153AF, 04727153AG, 04727153AH, 04727153AI, 05017591AA",04727153AJ,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
122,98 NS 3.3L A4 CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727154AF, 04727154AG, 04727154AH, 04727154AI, 04727154AJ, 05017591AA",04727154AK,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
124,98 NS 3.8L FWD A4 FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727155AF, 04727155AG, 04727155AH, 04727155AI, 05017591AA",04727155AJ,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
125,98 NS 3.8L AWD A4 FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727156AF, 04727156AG, 04727156AH, 04727156AI, 05017591AA",04727156AJ,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
126,96 3.3 NS CNG NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727089, 04727090, 04727111, 04727112, 04727119, 04727120, 04748102, 04748103",04727164,1996,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
127,96 3.8 NS CAL /FED AUTO AWD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727021, 04727048, 04727125, 04727126, 04727132, 04727135, 04727141, 04727162, 04748108, 04748109",04727171,1996,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
128,98 NS 3.3L A4 FED FFV (ETHANOL) NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727192AF, 04727192AG, 04727192AH, 04727192AI, 05017591AA",04727192AJ,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
129,97 NS 2.4L A3&A4 AWD 50S NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727201AA, 04727201AB, 04727201AC, 04727201AD, 04727201AE, 04727201AF, 04727201AG, 04727201AH, 05011021AA, 05017589AA",04727201AI,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
130,97 NS 3.0L NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727203AA, 04727203AB, 04727203AC, 04727203AD, 04727203AE, 04727203AF, 04727203AG, 05017587AA",04727203AH,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.0L
131,97 NS 3.3L FED NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727204AA, 04727204AB, 04727204AC, 04727204AD, 04727204AE, 04727204AF, 04727204AG, 04727204AH, 05017590AA",04727204AI,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
132,97 NS 3.3L CAL TLEV NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727205AA, 04727205AB, 04727205AC, 04727205AD, 04727205AE, 04727205AF, 04727205AG, 04727205AH, 05017590AA",04727205AI,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
133,97 NS 3.8L FWD 50S NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727207AA, 04727207AB, 04727207AC, 04727207AD, 04727207AE, 04727207AF, 04727207AG, 04727207AH, 05017590AA",04727207AI,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
135,97 NS 3.8L AWD 50S NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727208AA, 04727208AB, 04727208AC, 04727208AD, 04727208AE, 04727208AF, 04727208AG, 05017590AA",04727208AH,1997,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
136,97 GS 3.8L BUX AWD GS - VOYAGER (GRAZ),PCM,"04727215AA, 04727215AB, 04727215AC, 04727215AD, 04727215AE, 04727215AF",04727215AG,1997,GS,GS - VOYAGER (GRAZ),2,3.8L
137,96 3.3 NS FEDERAL AUTO W/LDP NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727176, 05017588AA",04727219,1996,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
138,96 3.8 NS CAL /FED AUTO AWD W/LDP NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727148, 04727179, 05017588AA",04727222,1996,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
139,98 NS 3.0L AUTO FED NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727232AA, 04727232AB, 04727232AC, 05017587AA",04727232AD,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.0L
140,99 NS 3.3L FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727244AA, 04727244AB, 04727244AC, 04727244AD, 05017591AA",04727244AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
141,99 NS 3.3L CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727245AA, 04727245AB, 04727245AC, 04727245AD, 05017591AA",04727245AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
142,99 NS 3.3L FED FFV (ETHANOL) NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727246AA, 04727246AB, 04727246AC, 04727246AD, 05017591AA",04727246AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
143,99 NS 3.8L FWD FED\CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727247AA, 04727247AB, 04727247AC, 04727247AD, 05017591AA",04727247AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
144,99 NS 3.8L FWD CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727248AA, 04727248AB, 04727248AC, 04727248AD, 05017591AA",04727248AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
145,99 NS 3.8L AWD FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727249AA, 04727249AB, 04727249AC, 04727249AD, 04727249AE, 05017591AA",04727249AF,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
146,98 NS 3.8L AWD A4 CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727250AC, 04727250AD, 04727250AE, 04727250AF, 04727250AG, 05017591AA",04727250AH,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
147,98 NS 2.4L A3 & A4 AUTO CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727251AC, 04727251AD, 04727251AE, 04727251AF, 04727251AG, 05017592AA",04727251AH,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
148,99 NS 3.8L AWD CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727254AA, 04727254AB, 04727254AC, 04727254AD, 04727254AE, 05017591AA",04727254AF,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
149,99 NS 3.0L AUTO FED EARLY BUILD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727255AA, 04727255AB, 05017587AA",04727255AC,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.0L
150,99 NS 3.0L AUTO FED LATE BUILD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727256AA, 04727256AB, 05017593AA",04727256AC,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.0L
152,2000 NS 2.4L A3 FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017592AA,04727274AC,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
153,2000 NS 2.4L A3 CAL (LEV) NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017592AA,04727275AB,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
154,2000 NS 3.0L AUTO FED NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727276AA, 04727276AB, 04727276AC, 05017593AA",04727276AD,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.0L
155,2000 NS 3.3L FED/CAN NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727278AC,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
156,2000 NS 3.3L CAL(LEV) NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727279AB,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
157,2000 NS 3.3L FED FFV NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727280AB,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.3L
158,2000 NS 3.8L FED/CAN FWD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727282AB,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
159,2000 NS 3.8L CAL (LEV) FWD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727283AB,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
160,2000 NS 3.8L FED/CAN AWD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727285AC,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
161,2000 NS 3.8L CAL (LEV) AWD NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,05017591AA,04727286AB,2000,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
162,2003 RG 2.4L MAN EARLY BUILD RS - CARAVAN / TOWN & COUNTRY,PCM,"04727310AE, 04727310AF",04727310AG,2003,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
163,2003 RG 2.4L AUTO RS - CARAVAN / TOWN & COUNTRY,PCM,"04727311AE, 04727311AF, 04727311AG, 04727311AH",04727311AI,2003,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
164,2004 RS 3.8L FED/CAL AUTO FWD RS - CARAVAN / TOWN & COUNTRY,PCM,"04727366AA, 04727366AB, 04727366AC, 04727366AD, 04727366AE, 04727366AF, 04727366AG, 05134857AA",04727366AH,2004,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.8L
165,2001 RS 2.4L AUTO FED/CAN NLEV RS - CARAVAN / TOWN & COUNTRY,PCM,"04727512AA, 04727512AB, 04727512AC, 04727512AD, 04727512AE, 04727512AF, 04727512AG, 04727512AH, 04727512AI, 04727512AJ, 04727512AK, 04727512AL",04727512AM,2001,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
166,2001 RS 2.4L AUTO CAL ULEV,PCM,"04727513AB, 04727513AC, 04727513AD, 04727513AE, 04727513AF, 04727513AG, 04727513AH, 04727513AI, 04727513AJ, 04727513AK, 04727513AL",04727513AM,2001,RS,,2,2.4L
167,2005 - 2007 RG EATXIIIB R2 - CARAVAN / VOYAGER (CKD) R2 - CARAVAN / VOYAGER (CKD) RG - VOYAGER (GRAZ) RS - CARAVAN / TOWN & COUNTRY RS - CARAVAN / TOWN & COUNTRY,TCM,"04727535AB, 04727535AC, 04727535AD, 04727535AE",04727535AF,2005,"RS, R2, RG","R2 - CARAVAN / VOYAGER (CKD), R2 - CARAVAN / VOYAGER (CKD), RG - VOYAGER (GRAZ), RS - CARAVAN / TOWN & COUNTRY, RS - CARAVAN / TOWN & COUNTRY",10,
168,2006 CS 3.5L A4 AWD 50S CS - PACIFICA,PCM,"04727541AB, 04727541AC, 04727541AD, 04727542AC, 04727542AD, 04727542AE, 04727542AF",04727542AH,2006,CS,CS - PACIFICA,2,3.5L
170,2006 CS 3.5L A4 FWD 50S CS - PACIFICA,PCM,"04727541AB, 04727541AC, 04727541AD, 04727543AC, 04727543AD, 04727543AE, 04727543AF",04727543AH,2006,CS,CS - PACIFICA,2,3.5L
171,2008 RT 3.3L AUTO CAL RT - CARAVAN / TOWN & COUNTRY,PCM,"04727737AB, 04727737AC, 04727737AD, 04727737AE, 04727737AF, 04727737AG, 04727737AH, 04727737AI, 04727737AJ, 04727737AK, 04727737AL, 05150247AC, 05150247AD",04727737AM,2008,RT,RT - CARAVAN / TOWN & COUNTRY,2,3.3L
172,2008 RT 3.8L AUTO EURO IV RT - CARAVAN / TOWN & COUNTRY,PCM,"04727738AB, 04727738AC, 04727738AD, 04727738AE, 04727738AF, 04727738AG, 04727738AH, 04727738AJ, 04727738AK, 04727738AL, 05150252AC, 05150252AD",04727738AM,2008,RT,RT - CARAVAN / TOWN & COUNTRY,2,3.8L
173,2008 RT 4.0L AUTO CAL RT - CARAVAN / TOWN & COUNTRY,PCM,"04727739AB, 04727739AC, 04727739AD, 04727739AE, 04727739AF, 04727739AG, 04727739AH, 04727739AI, 04727739AJ, 04727739AK, 05150253AC, 05150253AD, 05150253AE",04727739AL,2008,RT,RT - CARAVAN / TOWN & COUNTRY,2,4.0L
174,2005 RG 2.8L AUTO FLAT FLOOR RG - VOYAGER (GRAZ),ECM,"04727770AA, 04727770AB, 04727770AC, 04727770AD, 04727770AE",04727770AF,2005,RG,RG - VOYAGER (GRAZ),2,2.8L
175,96 2.4 GS EXPORT MANUAL GS - VOYAGER (GRAZ),PCM,"04727050, 04727096",04748114,1996,GS,GS - VOYAGER (GRAZ),2,
176,96 3.3 NS CAL TLEV W/LDP NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727177, 05017588AA",04748220,1996,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
177,96 3.8 NS CAL /FED AUTO FWD W/LDP NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04727147, 04727178, 05017588AA",04748221,1996,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,
178,98 NS 3.8L FWD A4 CAL NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04748229AF, 04748229AG, 04748229AH, 04748229AI, 04748229AJ, 05017591AA",04748229AK,1998,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,3.8L
179,99 NS 2.4L AUTO NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04748242AA, 04748242AB, 04748242AC, 04748242AD, 05017592AA",04748242AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
180,99 NS 2.4L CAL AUTO NS - CARAVAN/VOYAGER/T&C/LIMITED,PCM,"04748243AA, 04748243AB, 04748243AC, 04748243AD, 05017592AA",04748243AE,1999,NS,NS - CARAVAN/VOYAGER/T&C/LIMITED,2,2.4L
181,2003 RS 2.4L AUTO RS - CARAVAN / TOWN & COUNTRY,PCM,"04748312AD, 04748312AE, 04748312AF, 04748312AG",04748312AH,2003,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
183,2003 RG 2.4L MAN LATE BUILD RS - CARAVAN / TOWN & COUNTRY,PCM,"04748329AA, 04748329AB",04748329AC,2003,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
184,2004 RS 2.4L FED/CAL AUTO RS - CARAVAN / TOWN & COUNTRY,PCM,"04748360AD, 05134855AA",04748360AE,2004,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
185,2004 RS 3.3L FED/CAL AUTO RS - CARAVAN / TOWN & COUNTRY,PCM,"04748363AA, 04748363AB, 04748363AC, 04748363AD, 04748363AE, 04748363AF, 04748363AG, 05134857AA",04748363AH,2004,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.3L
186,2004 RS 3.8L FED/CAL AUTO AWD RS - CARAVAN / TOWN & COUNTRY,PCM,"04748365AA, 04748365AB, 04748365AC, 04748365AD, 04748365AE, 04748365AF, 04748365AG, 05134857AA",04748365AH,2004,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.8L
187,2004 RG 3.3L AUTO AWD BUX RG - VOYAGER (GRAZ),PCM,"04748370AA, 04748370AB, 04748370AC, 04748370AD, 04748370AE, 04748370AF, 05134857AA",04748370AG,2004,RG,RG - VOYAGER (GRAZ),2,3.3L
188,2004 RG 3.3L AUTO BUX RG - VOYAGER (GRAZ),PCM,"04748371AA, 04748371AB, 04748371AC, 04748371AD, 04748371AE, 04748371AF, 05134857AA",04748371AG,2004,RG,RG - VOYAGER (GRAZ),2,3.3L
189,2004 RG 3.3L AUTO BUX GCC RG - VOYAGER (GRAZ),PCM,"04748372AA, 04748372AB, 04748372AC, 04748372AD, 04748372AE, 04748372AF, 05134857AA",04748372AG,2004,RG,RG - VOYAGER (GRAZ),2,3.3L
190,2004 RG 2.4L AUTO BUX RG - VOYAGER (GRAZ),PCM,"04748373AC, 05134855AA",04748373AD,2004,RG,RG - VOYAGER (GRAZ),2,2.4L
191,2004 RG 2.4L MAN BUX RG - VOYAGER (GRAZ),PCM,05134854AA,04748374AC,2004,RG,RG - VOYAGER (GRAZ),2,2.4L
192,2004 RG 3.3L AUTO AWD BUX JAPAN RG - VOYAGER (GRAZ),PCM,"04748377AA, 04748377AB, 04748377AC, 04748377AD, 04748377AE, 04748377AF, 05134857AA",04748377AG,2004,RG,RG - VOYAGER (GRAZ),2,3.3L
193,2004 RG 3.3L AUTO BUX JAPAN RG - VOYAGER (GRAZ),PCM,"04748378AA, 04748378AB, 04748378AC, 04748378AD, 04748378AE, 04748378AF, 05134857AA",04748378AG,2004,RG,RG - VOYAGER (GRAZ),2,3.3L
194,2002 RS 2.4L AUTO 50S LEV RS - CARAVAN / TOWN & COUNTRY,PCM,"04748420AB, 04748420AC, 04748420AD, 04748420AE",04748420AF,2002,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
195,2005 RG 3.3L AUTO JAPAN EARLY RG - VOYAGER (GRAZ),PCM,"04748430AA, 04748430AB, 04748430AC, 04748430AD, 05134857AA",04748430AE,2005,RG,RG - VOYAGER (GRAZ),2,3.3L
196,2005 RG 2.4L MAN BUX EARLY RG - VOYAGER (GRAZ),PCM,"04748376AD, 04748525AA, 04748525AB",04748525AC,2005,RG,RG - VOYAGER (GRAZ),2,2.4L
197,2005 RG 2.4L AUTO BUX EARLY RG - VOYAGER (GRAZ),PCM,"04748362AD, 04748526AA, 04748526AB",04748526AC,2005,RG,RG - VOYAGER (GRAZ),2,2.4L
199,2005 RG 3.3L AUTO BUX EARLY RG - VOYAGER (GRAZ),PCM,"04748527AA, 04748527AB, 04748527AC, 04748527AD, 05134857AA",04748527AE,2005,RG,RG - VOYAGER (GRAZ),2,3.3L
200,2005 RG 3.3L AUTO GCC EARLY RG - VOYAGER (GRAZ),PCM,"04748528AA, 04748528AB, 04748528AC, 04748528AD, 05134857AA",04748528AE,2005,RG,RG - VOYAGER (GRAZ),2,3.3L
201,2005 RG 3.3L AUTO BUX AWD EARLY RG - VOYAGER (GRAZ),PCM,"04748529AA, 04748529AB, 04748529AC, 04748529AD, 05134857AA",04748529AE,2005,RG,RG - VOYAGER (GRAZ),2,3.3L
202,2005 RG 3.3L AUTO JAPAN ALL WHEEL DRIVE RG - VOYAGER (GRAZ),PCM,"04748531AA, 04748531AB, 04748531AC, 05134857AA",04748531AD,2005,RG,RG - VOYAGER (GRAZ),2,3.3L
203,2005 RS 2.4L AUTO 50S EARLY RS - CARAVAN / TOWN & COUNTRY,PCM,"04748532AA, 04748532AB, 04748532AC, 05134855AA",04748532AD,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
204,2005 RS 3.3L 50S AUTO EARLY RS - CARAVAN / TOWN & COUNTRY,PCM,"04748533AB, 04748533AC, 04748533AD, 04748533AE, 04748533AF, 04748533AG, 05134857AA",04748533AH,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.3L
205,2005 RS 3.3L 50S AUTO FIF EARLY RS - CARAVAN / TOWN & COUNTRY,PCM,"04748535AA, 04748535AB, 04748535AC, 04748535AD, 04748535AE, 04748535AF, 04748535AG, 05134857AA",04748535AH,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.3L
206,2005 RS 3.8L 50S AUTO EARLY RS - CARAVAN / TOWN & COUNTRY,PCM,"04748537AA, 04748537AB, 04748537AC, 04748537AD, 04748537AE, 04748537AF, 04748537AG, 05134857AA",04748537AH,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.8L
207,2005 RS 2.4L AUTO 50S RS - CARAVAN / TOWN & COUNTRY,PCM,"04748630AA, 04748630AB, 04748630AC, 04748630AD, 04748630AE, 04748630AF, 04748630AG, 04748630AH, 05161102AA",04748630AI,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,2.4L
208,2005 RS 3.3L AUTO 50S RS - CARAVAN / TOWN & COUNTRY,PCM,"04748631AA, 04748631AC, 04748631AD, 04748631AE, 04748631AF, 04748631AG, 04748631AH, 05161324AA",04748631AI,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.3L
210,2005 RS 3.3L AUTO 50S SNG RS - CARAVAN / TOWN & COUNTRY,PCM,"04748633AA, 04748633AC, 04748633AD, 04748633AE, 04748633AF, 04748633AG, 04748633AH, 05161324AA",04748633AI,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.3L
211,2005 RS 3.8L FWD AUTO 50S RS - CARAVAN / TOWN & COUNTRY,PCM,"04748635AC, 04748635AD, 04748635AE, 04748635AF, 04748635AG, 04748635AH, 04748635AI, 05161324AA",04748635AJ,2005,RS,RS - CARAVAN / TOWN & COUNTRY,2,3.8L
212,2013 DS 3.6L 8 SPD AUTO 4X2 HFE START- STOP DS - RAM 1500 PICKUP,TCM,"04800738AE, 04800738AF, 04800738AG, 04800746AF, 04800746AH, 68186076AA, 68227332AA, 68227332AB, 68227332AB, 68227332AC, 68227332AD, 68227332AD, 68227334AA, 68227334AB, 68275501AA, 68275501AA",04800738AH,2013,DS,DS - RAM 1500 PICKUP,2,3.6L
213,97 SR 8.0L SR - VIPER,PCM,"04848702AA, 04848702AB, 04848702AC, 04848702AD, 04848702AE, 04848702AF, 04848702AG",04848702AF,1997,SR,SR - VIPER,2,8.0L
214,97 SR 8.0L,PCM,,04848702AF,1997,,,0,8.0L
215,97 SR 8.0L,PCM,,04848702AF,1997,,,0,8.0L
216,97 SR 8.0L SPARK KNOCK SR - VIPER,PCM,"04848702AB, 04848702AC, 04848702AD, 04848702AE, 04848702AF, 04848702AG",04848702AG,1997,SR,SR - VIPER,2,8.0L
217,97 SR 8.0L SPARK KNOCK,PCM,,04848702AG,1997,,,0,8.0L
218,97 SR 8.0L SPARK KNOCK,PCM,,04848702AG,1997,,,0,8.0L
219,97 SR 8.0L BUX SR - VIPER,PCM,"04848703AA, 04848703AB, 04848703AC, 04848703AD, 04848703AE",04848703AF,1997,SR,SR - VIPER,2,8.0L
220,99 SR 8.0L SR - VIPER,PCM,"04848924AD, 04848924AE",04848924AD,1999,SR,SR - VIPER,2,8.0L
221,99 SR 8.0L,PCM,,04848924AD,1999,,,0,8.0L
222,99 SR 8.0L,PCM,,04848924AD,1999,,,0,8.0L
223,99 SR 8.0L SPARK KNOCK SR - VIPER,PCM,"04848924AA, 04848924AB, 04848924AC, 04848924AD, 04848924AE",04848924AE,1999,SR,SR - VIPER,2,8.0L
224,99 SR 8.0L SPARK KNOCK,PCM,,04848924AE,1999,,,0,8.0L
225,99 SR 8.0L SPARK KNOCK,PCM,,04848924AE,1999,,,0,8.0L
226,96 BR 5.2L MAN MEX BR - REGULAR CAB PICK-UP,PCM,"04849352, 04850352",04850382,1996,BR,BR - REGULAR CAB PICK-UP,2,5.2L
227,96 BR 5.2L MAN MEX,PCM,,04850382,1996,,,0,5.2L
228,96 BR 5.2L A3 MEX BR - REGULAR CAB PICK-UP,PCM,"04849353, 04850353",04850383,1996,BR,BR - REGULAR CAB PICK-UP,2,5.2L
229,96 BR 5.2L A3 MEX,PCM,,04850383,1996,,,0,5.2L
230,96 BR 5.2L A4 MEX BR - REGULAR CAB PICK-UP,PCM,"04849354, 04850354",04850384,1996,BR,BR - REGULAR CAB PICK-UP,2,5.2L
231,96 BR 5.2L A4 MEX,PCM,,04850384,1996,,,0,5.2L
232,96 BR 5.9L MAN MEX BR - REGULAR CAB PICK-UP,PCM,"04849355, 04850355",04850385,1996,BR,BR - REGULAR CAB PICK-UP,2,5.9L
234,96 BR 5.9L MAN MEX,PCM,,04850385,1996,,,0,5.9L
235,96 BR 5.9L A3 MEX BR - REGULAR CAB PICK-UP,PCM,"04849356, 04851356",04850386,1996,BR,BR - REGULAR CAB PICK-UP,2,5.9L
236,96 BR 5.9L A3 MEX,PCM,,04850386,1996,,,0,5.9L
237,96 BR 5.9L A3 MEX,PCM,,04850386,1996,,,0,5.9L
238,96 BR 5.9L A4 MEX BR - REGULAR CAB PICK-UP,PCM,"04849357, 04851357",04850387,1996,BR,BR - REGULAR CAB PICK-UP,2,5.9L
239,96 BR 3.9L A3 MEX BR - REGULAR CAB PICK-UP,PCM,"04849351, 04849370, 04850351",04851381,1996,BR,BR - REGULAR CAB PICK-UP,2,3.9L
240,96 BR 3.9L A3 MEX,PCM,,04851381,1996,,,0,3.9L
241,98 BT 3.9L A4 REGULATED BT - REGULAR CAB PICK-UP (MEX),PCM,"04852302AA, 04852302AB, 04852302AC, 05014152AA",04852302AD,1998,BT,BT - REGULAR CAB PICK-UP (MEX),2,3.9L
242,98 BT 5.2L MAN. REGULATED BT - REGULAR CAB PICK-UP (MEX),PCM,"04852303AA, 04852303AB, 04852303AC, 04852303AD, 05014152AA",04852303AE,1998,BT,BT - REGULAR CAB PICK-UP (MEX),2,5.2L
243,98 BT 5.2L A4 REGULATED BT - REGULAR CAB PICK-UP (MEX),PCM,"04852304AA, 04852304AB, 04852304AC, 04852304AD, 05014152AA",04852304AE,1998,BT,BT - REGULAR CAB PICK-UP (MEX),2,5.2L
244,98 BT 5.9L LD AUTO REGULATED BT - REGULAR CAB PICK-UP (MEX),PCM,"04852305AA, 04852305AB, 04852305AC, 05014152AA",04852305AD,1998,BT,BT - REGULAR CAB PICK-UP (MEX),2,5.9L
245,98 BT 5.9L HD MAN. REGULATED BT - REGULAR CAB PICK-UP (MEX),PCM,"04852306AA, 04852306AB, 04852306AC, 05014152AA",04852306AD,1998,BT,BT - REGULAR CAB PICK-UP (MEX),2,5.9L
246,98 BT 8.0L AUTO REGULATED BT - REGULAR CAB PICK-UP (MEX),PCM,"04852307AA, 04852307AB, 04852307AC, 05014153AA",04852307AD,1998,BT,BT - REGULAR CAB PICK-UP (MEX),2,8.0L
247,97 BT 3.9L REGULATED MANUAL BR - REGULAR CAB PICK-UP,PCM,"04850150, 04851130AA, 04851130AB, 04851130AC, 04851130AD, 05014152AA",04852981AA,1997,BR,BR - REGULAR CAB PICK-UP,2,3.9L
248,97 BT 3.9L REGULATED A3 BR - REGULAR CAB PICK-UP,PCM,"04851131AA, 04851131AB, 04851131AC, 04851131AD, 05014152AA",04852982AA,1997,BR,BR - REGULAR CAB PICK-UP,2,3.9L
